Archivo Historico,Archivo PDF,Gaceta Politecnica,617,2005,30-sep-05,MENSUAL, ,El ejemplar de Gaceta que se presenta - 617 - Septiembre de 2005 - publicación que en el cumplimiento de su función de órgano informativo - informa la publicación de un articulo en el Periodico(Excelsior) con titulo la cultura del Agua - alternativa para las periferias metropolitanas: Pedro Lina Investigador del CIEEMAD,AUSENTE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
Archivo Historico,Archivo PDF,Gaceta Politecnica,618,2005,31-oct-05,MENSUAL, ,El ejemplar de Gaceta que se presenta - 618 - Octubre de 2005 - publicación que en el cumplimiento de su función de órgano informativo - nforma  sobre el congreso Nacional de Medio Ambiente y Desarrollo. Interdisciplinariedad y Transversalidad en la Gestión ambiental  en el CIIEMAD del 22 al 24 de Noviembre,AUSENTE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
Archivo Historico,Archivo PDF,Gaceta Politecnica,619,2005,30-nov-05,MENSUAL, ,El ejemplar de Gaceta que se presenta - 619 - Noviembre de 2005 - publicación que en el cumplimiento de su función de órgano informativo - informa la publicación de un articulo en el Periodico(La Jornada) con titulo Maestria en Ciencias en Medio Ambiente y Desarrollo Integrado sede: CIIEMAD,DISPONIBLE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
Archivo Historico,Archivo PDF,Gaceta Politecnica,620,2006,01-ene-06,EXTRAORDINARIO, ,El ejemplar de Gaceta que se presenta - 620 - Enero de 2006 - publicación que índica el acuerdo del CIIEMAD,AUSENTE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
Archivo Historico,Archivo PDF,Gaceta Politecnica,621,2006,31-ene-06,MENSUAL, ,El ejemplar de Gaceta que se presenta - 621 - Enero de 2006 - publicación que índica el nombramiento de Dr. Honoris Causa a Roque Juan Carrasco Aquino -  investigadora del CIIEMAD asegura que las enfermedades respiratorias son causa de la contaminacion ambiental,DISPONIBLE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
Archivo Historico,Archivo PDF,Gaceta Politecnica,625,2006,31-mar.06,MENSUAL, ,El ejemplar de Gaceta que se presenta - 625 - Marzo de 2006 - publicación que índica los resultados de las investigaciones recaen en el deficit de tratamiento de agua residual,AUSENTE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
Archivo Historico,Archivo PDF,Gaceta Politecnica,626,2006,31-mar-06,EXTRAORDINARIO, ,El ejemplar de Gaceta que se presenta - 626 - Marzo de 2006 - publicación que índica el CIIEMAD realizó registros de patentes,DISPONIBLE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
Archivo Historico,Archivo PDF,Gaceta Politecnica,629,2006,31-may-06,EXTRAORDINARIO, ,El ejemplar de Gaceta que se presenta - 629 - Mayo de 2006 - publicación que índica el destino de capitALrecurso y proyectos relacionados con el Centro de investigación ,AUSENTE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
Archivo Historico,Archivo PDF,Gaceta Politecnica,632,2006,30-jun-06,MENSUAL, ,El ejemplar de Gaceta que se presenta - 632 - Junio de 2006 - publicación que índica la nota del periódico La Jornada acerca de la publicación de la convocatoria para el doctorado del CIIEMAD  ,DISPONIBLE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
Archivo Historico,Archivo PDF,Gaceta Politecnica,634,2006,31-jul-06,MENSUAL, ,El ejemplar de Gaceta que se presenta - 634 - Julio de 2006 - publicación que índica afectaciones por desiertificación y compromiso del IPN con la urbanidad,DISPONIBLE,Núm.599 31 de Julio de 2004 Año LII 1.0.0.3.2/
